timestamp,event,eventValue,eventNb
2014-06-29 18:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-06-30 14:00:00,mp3,/bigdatahebdo/EP01.mp3,3
2014-06-30 14:00:00,mp3,/bigdatahebdo/EP00.mp3,3
2014-06-30 17:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-06-30 20:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-06-30 20:00:00,mp3,/bigdatahebdo/EP00.mp3,2
2014-06-30 21:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-07-02 21:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-07-03 00:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-03 08:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-03 12:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-03 14:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-03 18:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-07-04 19:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-04 20:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-07-04 21:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-05 13:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-06 17:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-07 05:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-07 07:00:00,mp3,/bigdatahebdo/EP02.mp3,15
2014-07-07 07:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-07-07 08:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-07-07 08:00:00,mp3,/bigdatahebdo/EP02.mp3,8
2014-07-07 08:00:00,mp3,/bigdatahebdo/EP00.mp3,2
2014-07-07 09:00:00,mp3,/bigdatahebdo/EP02.mp3,5
2014-07-07 10:00:00,mp3,/bigdatahebdo/EP02.mp3,7
2014-07-07 11:00:00,mp3,/bigdatahebdo/EP02.mp3,5
2014-07-07 11:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-07-07 11:00:00,mp3,/bigdatahebdo/EP01.mp3,2
2014-07-07 12:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-07-07 13:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-07 14:00:00,mp3,/bigdatahebdo/EP02.mp3,4
2014-07-07 15:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-07 16:00:00,mp3,/bigdatahebdo/EP02.mp3,3
2014-07-07 18:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-07-07 23:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-08 03:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-07-08 03:00:00,mp3,/bigdatahebdo/EP00.mp3,2
2014-07-08 03:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-07-08 05:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-08 06:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-08 07:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-08 12:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-09 19:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-10 03:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-10 07:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-11 08:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-11 09:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-12 12:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-13 22:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-15 07:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-15 08:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-15 10:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-15 20:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-18 17:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-23 10:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-23 14:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-23 15:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-23 17:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-07-24 10:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-07-26 15:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-07-26 16:00:00,mp3,/bigdatahebdo/EP01.mp3,3
2014-07-26 16:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-07-26 17:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-07-26 19:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-07-27 08:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-07-29 21:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-07-30 12:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-07-30 13:00:00,mp3,/bigdatahebdo/EP02.mp3,2
2014-08-01 13:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-01 17:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-06 08:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-21 10:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-21 10:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-08-26 23:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-08-27 14:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-08-27 14:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-08-27 14:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-28 07:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-08-28 21:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-29 11:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-29 11:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-08-29 16:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-08-29 22:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-08-30 16:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-30 20:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-08-30 20:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-08-30 22:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-09-04 03:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-09-04 03:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-09-04 03:00:00,mp3,/bigdatahebdo/EP01.mp3,1
2014-09-04 08:00:00,mp3,/bigdatahebdo/EP02.mp3,1
2014-09-04 08:00:00,mp3,/bigdatahebdo/EP00.mp3,1
2014-09-05 21:00:00,mp3,/bigdatahebdo/EP03.mp3,2
2014-09-06 02:00:00,mp3,/bigdatahebdo/EP03.mp3,1
2014-09-06 04:00:00,mp3,/bigdatahebdo/EP03.mp3,1
2014-09-06 07:00:00,mp3,/bigdatahebdo/EP03.mp3,1
2014-09-06 08:00:00,mp3,/bigdatahebdo/EP03.mp3,1
2014-09-06 09:00:00,mp3,/bigdatahebdo/EP03.mp3,1
2014-09-06 11:00:00,mp3,/bigdatahebdo/EP03.mp3,1
